Distance_(Âµm),Gray_Value
0.0000,508
0.1300,508
0.2600,508
0.3900,508
0.5200,509
0.6500,509
0.7800,509
0.9100,510
1.0400,510
1.1700,511
1.3000,511
1.4300,511
1.5600,512
1.6900,512
1.8200,513
1.9500,513
2.0800,514
2.2100,514
2.3400,515
2.4700,515
2.6000,516
2.7300,516
2.8600,517
2.9900,517
3.1200,518
3.2500,518
3.3800,518
3.5100,519
3.6400,519
3.7700,519
3.9000,520
4.0300,520
4.1600,521
4.2900,521
4.4200,522
4.5500,522
4.6800,523
4.8100,523
4.9400,524
5.0700,524
5.2000,525
5.3300,525
5.4600,526
5.5900,526
5.7200,527
5.8500,527
5.9800,528
6.1100,528
6.2400,529
6.3700,529
6.5000,529
6.6300,530
6.7600,530
6.8900,530
7.0200,531
7.1500,531
7.2800,531
7.4100,532
7.5400,532
7.6700,532
7.8000,532
7.9300,533
8.0600,533
8.1900,533
8.3200,533
8.4500,534
8.5800,534
8.7100,534
8.8400,534
8.9700,535
9.1000,535
9.2300,535
9.3600,536
9.4900,536
9.6200,536
9.7500,537
9.8800,537
10.0100,538
10.1400,538
10.2700,539
10.4000,540
10.5300,540
10.6600,541
10.7900,542
10.9200,543
11.0500,544
11.1800,545
11.3100,546
11.4400,548
11.5700,549
11.7000,551
11.8300,552
11.9600,554
12.0900,556
12.2200,558
12.3500,560
12.4800,562
12.6100,564
12.7400,567
12.8700,569
13.0000,572
13.1300,575
13.2600,578
13.3900,581
13.5200,584
13.6500,587
13.7800,590
13.9100,593
14.0400,597
14.1700,600
14.3000,603
14.4300,607
14.5600,611
14.6900,614
14.8200,618
14.9500,622
15.0800,625
15.2100,629
15.3400,633
15.4700,637
15.6000,641
15.7300,645
15.8600,650
15.9900,654
16.1200,659
16.2500,663
16.3800,668
16.5100,673
16.6400,678
16.7700,684
16.9000,690
17.0300,696
17.1600,703
17.2900,710
17.4200,717
17.5500,725
17.6800,734
17.8100,743
17.9400,752
18.0700,763
18.2000,774
18.3300,786
18.4600,798
18.5900,812
18.7200,827
18.8500,843
18.9800,860
19.1100,878
19.2400,898
19.3700,920
19.5000,943
19.6300,968
19.7600,994
19.8900,1023
20.0200,1053
20.1500,1085
20.2800,1118
20.4100,1153
20.5400,1189
20.6700,1227
20.8000,1265
20.9300,1305
21.0600,1344
21.1900,1383
21.3200,1422
21.4500,1460
21.5800,1496
21.7100,1530
21.8400,1562
21.9700,1592
22.1000,1618
22.2300,1640
22.3600,1659
22.4900,1674
22.6200,1684
22.7500,1691
22.8800,1693
23.0100,1692
23.1400,1686
23.2700,1677
23.4000,1665
23.5300,1649
23.6600,1631
23.7900,1610
23.9200,1587
24.0500,1563
24.1800,1537
24.3100,1510
24.4400,1483
24.5700,1455
24.7000,1428
24.8300,1401
24.9600,1374
25.0900,1349
25.2200,1324
25.3500,1301
25.4800,1279
25.6100,1258
25.7400,1239
25.8700,1222
26.0000,1206
26.1300,1192
26.2600,1179
26.3900,1169
26.5200,1159
26.6500,1151
26.7800,1145
26.9100,1140
27.0400,1135
27.1700,1132
27.3000,1130
27.4300,1128
27.5600,1127
27.6900,1127
27.8200,1126
27.9500,1126
28.0800,1127
28.2100,1127
28.3400,1127
28.4700,1127
28.6000,1126
28.7300,1125
28.8600,1124
28.9900,1123
29.1200,1121
29.2500,1119
29.3800,1116
29.5100,1114
29.6400,1110
29.7700,1107
29.9000,1103
30.0300,1099
30.1600,1095
30.2900,1091
30.4200,1087
30.5500,1083
30.6800,1079
30.8100,1075
30.9400,1071
31.0700,1068
31.2000,1065
31.3300,1062
31.4600,1059
31.5900,1057
31.7200,1055
31.8500,1053
31.9800,1052
32.1100,1051
32.2400,1050
32.3700,1049
32.5000,1049
32.6300,1048
32.7600,1048
32.8900,1048
33.0200,1048
33.1500,1049
33.2800,1049
33.4100,1050
33.5400,1050
33.6700,1051
33.8000,1051
33.9300,1052
34.0600,1052
34.1900,1052
34.3200,1052
34.4500,1052
34.5800,1052
34.7100,1052
34.8400,1051
34.9700,1050
35.1000,1049
35.2300,1048
35.3600,1047
35.4900,1046
35.6200,1044
35.7500,1043
35.8800,1041
36.0100,1039
36.1400,1038
36.2700,1036
36.4000,1034
36.5300,1033
36.6600,1032
36.7900,1031
36.9200,1030
37.0500,1029
37.1800,1029
37.3100,1029
37.4400,1030
37.5700,1031
37.7000,1032
37.8300,1034
37.9600,1036
38.0900,1038
38.2200,1041
