stage,z,x,change.in.z,change.in.lateral
2.9,1,23.01,0,0
2.9,1.1,22.75,0.1,0.26
2.9,1.2,22.36,0.2,0.65
2.9,1.3,22.1,0.3,0.91
2.9,1.4,21.84,0.4,1.17
2.9,1.5,21.58,0.5,1.43
2.9,1.6,21.32,0.6,1.69
2.9,1.7,20.93,0.7,2.08
2.9,1.8,20.67,0.8,2.34
2.9,1.9,20.41,0.9,2.6
2.9,2,20.28,1,2.73
2.9,2.1,19.89,1.1,3.12
2.9,2.2,19.63,1.2,3.38
2.9,2.3,19.37,1.3,3.64
2.9,2.4,19.11,1.4,3.9
2.9,2.5,18.98,1.5,4.03
2.9,2.6,18.46,1.6,4.55
2.9,2.7,18.07,1.7,4.94
2.9,2.8,17.68,1.8,5.33
2.9,2.9,17.29,1.9,5.72
2.9,3,16.9,2,6.11
2.95,1,17.94,0,0
2.95,1.1,17.68,0.1,0.26
2.95,1.2,17.42,0.2,0.52
2.95,1.3,17.03,0.3,0.91
2.95,1.4,16.9,0.4,1.04
2.95,1.5,16.64,0.5,1.3
2.95,1.6,16.25,0.6,1.69
2.95,1.7,15.99,0.7,1.95
2.95,1.8,15.73,0.8,2.21
2.95,1.9,15.47,0.9,2.47
2.95,2,15.21,1,2.73
2.95,2.1,15.08,1.1,2.86
2.95,2.2,14.96,1.2,2.98
2.95,2.3,14.56,1.3,3.38
2.95,2.4,14.3,1.4,3.64
2.95,2.5,14.17,1.5,3.77
2.95,2.6,13.91,1.6,4.03
2.95,2.7,13.65,1.7,4.29
2.95,2.8,13.39,1.8,4.55
2.95,2.9,13.26,1.9,4.68
2.95,3,12.87,2,5.07
3,1,18.98,0,0
3,1.1,18.85,0.1,0.13
3,1.2,18.33,0.2,0.65
3,1.3,18.2,0.3,0.78
3,1.4,17.94,0.4,1.04
3,1.5,17.55,0.5,1.43
3,1.6,17.42,0.6,1.56
3,1.7,17.03,0.7,1.95
3,1.8,17.03,0.8,1.95
3,1.9,16.51,0.9,2.47
3,2,16.25,1,2.73
3,2.1,15.86,1.1,3.12
3,2.2,15.73,1.2,3.25
3,2.3,15.6,1.3,3.38
3,2.4,15.47,1.4,3.51
3,2.5,15.21,1.5,3.77
3,2.6,15.08,1.6,3.9
3,2.7,14.82,1.7,4.16
3,2.8,14.56,1.8,4.42
3,2.9,14.43,1.9,4.55
3,3,14.17,2,4.81
3.05,1,18.33,0,0
3.05,1.1,17.81,0.1,0.52
3.05,1.2,17.81,0.2,0.52
3.05,1.3,17.29,0.3,1.04
3.05,1.4,17.16,0.4,1.17
3.05,1.5,17.03,0.5,1.3
3.05,1.6,16.64,0.6,1.69
3.05,1.7,16.38,0.7,1.95
3.05,1.8,16.38,0.8,1.95
3.05,1.9,15.73,0.9,2.6
3.05,2,15.73,1,2.6
3.05,2.1,15.73,1.1,2.6
3.05,2.2,15.21,1.2,3.12
3.05,2.3,15.21,1.3,3.12
3.05,2.4,15.08,1.4,3.25
3.05,2.5,14.56,1.5,3.77
3.05,2.6,14.17,1.6,4.16
3.05,2.7,14.04,1.7,4.29
3.05,2.8,13.78,1.8,4.55
3.05,2.9,13.52,1.9,4.81
3.05,3,13.26,2,5.07